name,address,email,phone,url
IMSP Centrul Republican de Diagnosticare Medicală,"or. Сhişnău, str. C.Vîrnav,13",crdm@ms.md,022888416,-
MINISTERUL AFACERILOR EXTERNE ŞI INTEGRĂRII EUROPENE,"Republica Moldova, CHIŞINĂU BUIUCANI, mun. Chişinău, str. 31 August 1989 80",vadim.sobol@mfa.md,022 578 235 - 022 578 295,-
Centrul Național Anticorupție,-,eduard.dutca@cna.md,257337,-
Ministerul Justitiei al Republicii Moldova,"mun.Chişinău, str. 31 August 1989, nr. 82",cristian.iustin@justice.gov.md,022-20-14-28 ,-
IMSP Institutul Oncologic,,,,-
Ministerul Agriculturii și Industriei Alimentare,"mun. Chişinău, bd. Ştefan cel Mare 162",victor.hariton@maia.gov.md,022210408,-
Ministerul Tineretului și Sportului,"bd. Ștefan cel Mare și Sfînt 162, et. 8, bir. 811",liliana.moraru@mts.gov.md,022232783 022820867,-
AGENŢIA ACHIZIŢII PUBLICE,"Republica Moldova, Chişinău Centru, Centru Chişinău, str. Hînceşti şos. 53",bap@tender.gov.md,373 22 78 20 90,-
Biroul National de Statistica,"mun. Chișinău, str Grenoble 106",corina.bobu@statistica.md,022 403127,-
Biroul Relații Interetnice,,,,-
PROCURATURA GENERALĂ A REPUBLICII MOLDOVA,"Republica Moldova, mun. Chişinău, str. Bănulescu-Bodoni Mt. 26",o.motroi@procuratura.md,022-22-53-52,-
Directia Educatie Tineret si Sport st.Ciocana,Aleco Russo 57,detsciocana@mail.ru,022-49-96-61 ,-
IP USMF Nicolae Testemițanu,"mun. Chișinău, bd. Ștefan cel Mare și Sfînt 165",achizitii@usmf.md,022-20-52-65 022-20-52-67,-
DIRECŢIA GENERALĂ TRANSPORT PUBLIC ŞI CĂI DE COMUNICAŢIE,"Republica Moldova, mun. Chişinău, str. Lazo S. 18",elenamarketing2007@rambler.ru,022-20-46-69,-
MINISTERUL MEDIULUI AL REPUBLICII MOLDOVA,"Republica Moldova, CHIŞINĂU RÎŞCANI, mun. Chişinău, str. Constantin Tănase, 9",tatiana.dorogan@mediu.gov.md,022204532,-
USM,"Republica Moldova, mun. Chişinău, str. Mateevici A. 60",ap.usm@mail.ru,022 577 452,-
IMSP SPITALUL CLINIC DE TRAUMATOLOGIE ŞI ORTOPEDIE,"Republica Moldova, mun. Chişinău, str. Ştefan cel Mare şi Sfînt bd. 190",imps_scto@mednet.md,(022) 29 27 20 ,-
Ministerul Educației,"Piața Marii Adunări Naționale, nr. 1",grigoras.v@mail.ru,022  23 37 73,-
Agenția Națională pentru Siguranța Alimentelor,"mun.Chișinău, str. Kogălniceanu,63",olga.cebotari@ansa.gov.md,"     022-29-47-26",-
"Direcția Educație, Tineret și Sport al sectorului Botanica",Bd. Traian 21/2,inna-frunza@mail.ru,022 76 55 21,-
Serviciul Medical al Ministerului Afacerilor Interne,mun. Chisinau str. Gheorghe Asachi 25 b,serviciul.medical@mai.gov.md,(22) 254 127,-
DEPARTAMENTUL DOTĂRI AL MINISTERULUI APĂRĂRII,"mun. Chişinău, şos. Hînceşti 84",stanislav.pojar@army.md,022252149 252209 252357,-
Academia Stefan cel Mare a MAI,,,,-
Departamentul Trupelor de Carabinieri,"str. Gh. Asachi, 65 a",irina.vizir@mai.gov.md,0 22 73-93-68   ,-
UNIVERSITATEA AGRARĂ DE STAT DIN MOLDOVA,"Republica Moldova, mun. Chişinău, str. Mirceşti 44",curteantatiana@mail.ru,432340,-
DETS  RÎŞCANI,"Republica Moldova, mun. Chişinău, str.Kiev 5 A",ceban.laurentia@mail.ru,0 22 44-53-87   0 22 32-55-00,-
INSPECTORATUL GENERAL AL POLIŢIEI,"Republica Moldova, mun. Chişinău, str. Tiraspol 11/1",reghina.moscalciuc@igp.gov.md,022868262,-
ASEM,"Republica Moldova, CHIŞINĂU RÎŞCANI, mun. Chişinău, str. Bănulescu-Bodoni G. 61",iuliaf@mail.ru," 022402920",-
Agenția de Intervenție și Plăți pentru Agricultură,"Mun. Chişinău, bd. Ştefan cel Mare şi Sfînt, 162",mihaela.veverita@aipa.gov.md,022 210 194,-
CANCELARIA DE STAT,"Republica Moldova, mun. Chişinău, str. Marii Adunări Naţionale piaţa 1",ludmila.cujba@gov.md,022 250158,-
Agenția Rezerve Materiale,"MD – 2012, str. Columna, 118/1, Chişinău",arm@rezerve.gov.md,373 22 24  33  66,-
ÎM Direcţia Construcţii Capitale,"MD 2004 mun. Chişinău, str. 31 August 1989,nr.100",ap_dcc@mail.ru,022-23-49-36,-
Departamentul Instituțiilor Penitenciare,"mun. Chișinău, str. N. Titulescu, 35",marin.josan@penitenciar.gov.md,0-22-40-97-14,-
DETS sect. CENTRU,"Republica Moldova, mun. Chişinău, str. Bulgară 41",dets_contracte@mail.ru,(022) 27-10-22,-
DIRECŢIA GENERALĂ LOCATIV-COMUNALĂ ŞI AMENAJARE A CONSILIULUI MUNICIPAL CHIŞINĂU,"Republica Moldova, mun. Chişinău, str. Eminescu Mihai 33",spap@dglca.md,022 24 25 01,-
Ministerul Culturii,,,,-
INSPECTORATUL ECOLOGIC DE STAT,"Republica Moldova, mun. Chişinău, str. Cosmonauţilor 9",iacub@mediu.gov.md,22-69-32,-
DGETS,"M.Dosoftei,99",caraimandgets@mail.ru,022 233445,-
Serviciul Stare Civilă,"str. Mihai Viteazul nr. 11/1, mun. Chişinău",pirgaru.mariana@ssc.gov.md," (022) 25-71-63-(022) 25-71-59",-
Directia Educatie Tineret si Sport s-l Buiucani,"str, I.Creanga 4/2",dets_buiucani@list.ru,21-03-35,-
Agenția pentru Eficiență Energetică,"Mun. Chișinău, str. Alecu Russo, 1 et.10",info@aee.md,022 49-94-44(6),-
SERVICIUL TEHNOLOGII INFORMAŢIONALE AL MINISTERULUI AFACERILOR INTERNE,"Republica Moldova, mun. Chişinău, str. V.Alecsandri 42",adrian.beselea@mai.gov.md,255-269 069163545,-
U.P.S. ION CREANGĂ din mun. Chișinău,"Republica Moldova, mun. Chişinău, str. Creangă Ion 1",upstender@mail.ru,022-24-07-95,-
"IP ""Capitania portului Giurgiulesti""",bd. Stefan cel Mare 134,info@maradmoldova.md,22 735345,-
CENTRUL NAŢIONAL DE SĂNĂTATE PUBLICĂ,"Republica Moldova, CHIŞINĂU CENTRU, mun. Chişinău, str. Asachi Gh. 67 bl. A",sap@cnsp.md,022-574-519,-
INSPECTORATUL FISCAL PRINCIPAL DE STAT DE PE LÎNGĂ MINISTERUL FINANŢELOR AL REPUBLICII MOLDOVA,"Republica Moldova, mun. Chişinău, str. Constantin Tănase 9 et.II",veaceslav.vrabie@fisc.md,022823411,-
CNPF,"bd.Stefan cel Mare, 77",mariana.ardeleanu@cnpf.md,022859585,-
CONSILIUL CONCURENŢEI,"Republica Moldova, mun. Chişinău, bd. Ştefan cel Mare şi Sfînt nr. 73/1",office@competition.md,0 22 273443,-
CURTEA DE APEL CHIŞINĂU,"Republica Moldova, CHIŞINĂU BOTANICA, mun. Chişinău, str. Teilor 4",vasile.cuculescu@cac.gov.md,0 22 409 114,-
SERVICIUL VAMAL AL REPUBLICII MOLDOVA,"Republica Moldova, mun. Chişinău, str. N. Starostenco 30",vama@customs.gov.md,022574254,-
CURTEA CONSTITUŢIONALĂ A REPUBLICII MOLDOVA,"Republica Moldova, mun. Chişinău, str. Lăpuşneanu A. 28",oxana.batrinu@constcourt.md,022253743,-
Serviciul Piscicol,"Chisinau, str-la Mereni, 8",sp@sp.gov.md,022-47-32-37,-
SECRETARIATUL PARLAMENTULUI REPUBLICII MOLDOVA,"Republica Moldova, mun. Chişinău, bd. Ştefan cel Mare şi Sfînt, 162, bir.215",valentina.ursu@parlament.md,268-205 268-201 268-480 268133,-
CONSILIUL COORDONATOR AL AUDIOVIZUALULUI DIN REPUBLICA MOLDOVA,"Republica Moldova, mun. Chişinău, str. Vlaicu Pîrcălab 46",contabilitatea@cca.md,022277583,-
I.M.S.P. INSTITUTUL DE NEUROLOGIE ŞI NEUROCHIRURGIE,"Republica Moldova, mun. Chişinău, str. Korolenko Vl. 2",imspinn@gmail.com,022 829 016,-
Direcția sănătății a Consiliului municipal Chișinău,"str. București, 35, mun. Chișinău",directia_sanatate@mail.md,022274055,-
Serviciul Hidrometeorologic de Stat,"MD 2072, or.Chisinau, str.Grenoble 134",contabilitate@meteo.gov.md,022773603,-
Serviciul Special pentru Influențe Active asupra Proceselor Hidrometeorologice,str. Grenoble 193,antigrindinamd@mail.ru,403 466,-
Ministerul Finanţelor,"str. Constantin Tănase, 7",adrian.andrievschi@mf.gov.md,(022) 26-25-36 ,-
Biblioteca Naţională,,,,-
Banca Nationala a Moldovei,"mun. Chisinau, bd. Grigore Vieru 1",marina.chirilov@bnm.md,022 822364,-
APARATUL PREŞEDINTELUI REPUBLICII MOLDOVA,"Republica Moldova, mun. Chişinău, str. Ştefan cel Mare şi Sfînt bd. 154",a.mihailuta@prm.md,022-250-501 022-250-238,-
I.M.S.P. SPITALUL CLINIC DE BOLI INFECŢIOASE TOMA CIORBĂ,"Republica Moldova, mun. Chişinău, str. Ştefan cel Mare şi Sfînt bd. 163",infect_clinic@mtc.md,(022) 358099,-
Agenţia Proprietăţii Publice,"Piata Marii Adunari Nationale 1, mun. Chisinau, MD-2033, biroul 345",alina.botoc@app.gov.md,022 23 45 89,-
Curtea de Conturi,Ștefan cel Mare 69,n_chiriac@ccrm.md,022-266-083,-
Serviciul Protecției Civile și Situațiilor Excepționale al MAI,"mun. Chişinău, str. Gh. Asachi, 69",achiziţii@dse.md,022 220362,-
UNIVERSITATEA TEHNICĂ A MOLDOVEI,"Republica Moldova, mun. Chişinău, str. Ştefan cel Mare şi Sfînt bd. 168",liudmila.chihai@adm.utm.md,0 22 23 35 03,-
"DIRECŢIA GENERALĂ ECONOMIE, REFORME ŞI RELAŢII PATRIMONIALE","Republica Moldova, mun. Chişinău, str. Columna 106",PMC_DGERRP@YAHOO.COM,022-22-07-30,-
CONSILIUL SUPERIOR AL MAGISTRATURII,"Republica Moldova, Chişinău Centru, str. Eminescu M. 5",aparatul.csm@mail.ru,022 990-833 022-990-824,-
Centrul National de Expertize Judiciare,Chisinau str. Maria Cibotari 2,cnej@mail.md,0 22 23 84 22,-
Apele Moldovei,"str. Gheorghe Tudor, 5, etj. 5, or.Chişinău, MD 2028, Republica Moldova",agentia_am@apele.gov.md,022-402-726   022-280-700,-
CENTRUL NAŢIONAL DE TRANSFUZIE A SÎNGELUI,"Republica Moldova, CHIŞINĂU CENTRU, mun. Chişinău, str. Academiei 11",singe@ms.md,022109051,-
Ministerul Sănătății,"mun.Chișinău str.Vasile Alecsandri, 2",aliona.talpalaru@ms.gov.md,022 268822 ,-
Ministerul Tehnologiei Informaţiei și Comunicațiilor,"Chișinău,bd.Ștefan cel Mare 134",secretariat@mtic.gov.md,022 251159      022251116,-
I.M.S.P. SPITALUL CLINIC AL MINISTERULUI SĂNĂTĂŢII,"Republica Moldova, CHIŞINĂU RÎŞCANI, mun. Chişinău, str. Puşkin A. 51",scms@ms.md,022267041,-
IMSP Spitalul Dermatologie si Maladii Comunicabile,"str. Costiujeni, 5/1",imspddvr@gmail.com,794112             ,-
IMSP SCM nr.1,"str.Melestiu, 20",marina.domenco@mail.md,022-35-47-93,-
I.M.S.P. ASOCIAŢIA MEDICALĂ TERITORIALĂ BUIUCANI,"Republica Moldova, mun. Chişinău, str. I.L. Caragiale 2",amtbuiucani@ms.md,022-75-69-60-079508076,-
COMISIA DE STAT PENTRU TESTAREA SOIURILOR DE PLANTE,"Republica Moldova, mun. Chişinău, str. Ştefan cel Mare şi Sfînt bd. 162 bir.212",natalia.berghii@cstsp.md,210-455   211-308,-
SERVICIUL DE INFORMAŢII ŞI SECURITATE AL REPUBLICII MOLDOVA,"Republica Moldova, mun. Chişinău, str. Ştefan cel Mare şi Sfînt bd. 166",dtm_sis@sis.md,022239391,-
"I.M.S.P. SPITALUL CLINIC MUNICIPAL ""SFÂNTUL ARHANGHEL MIHAIL""","Republica Moldova, mun. Chişinău, str. Arh. Mihail 38",ala_punga@mail.ru,022 244239,-
SERVICIUL DE PROTECŢIE ŞI PAZĂ DE STAT,"Republica Moldova, mun. Chişinău, str. Sfatul Ţării 26",secretariat@spps.md,022250900,-
GRĂDINA ZOOLOGICĂ Î.M.,"Republica Moldova, mun. Chişinău, str. Dacia bd. 50 bl. 7",zookishinev@mail.ru,022 76-89-77,-
I.M.S.P. INSTITUTUL DE CARDIOLOGIE,"Republica Moldova, mun. Chişinău, str. N. Testemiţeanu 29 bl. 1",icachizitii@gmail.com,022 738718,-
BAZA AUTO A CANCELARIEI DE STAT A REPUBLICII MOLDOVA,"Republica Moldova, mun. Chişinău, str. Bucuriei 18 bl. 2",BACS_001@mail.ru,022  74-62-64,-
PRIMĂRIA MUNICIPIULUI CHIŞINĂU,"Republica Moldova, mun. Chişinău, str. Ştefan cel Mare şi Sfînt bd. 83",da@pmc.md,022201538  022201585,-
"I.M.S.P. SPITALUL CLINIC MUNICIPAL ""SFÂNTA TREIME""","Republica Moldova, mun. Chişinău, str. Alecu Russo 11",scm_sf.treime@ms.md,022438237,-
ASOCIAŢIA DE GOSPODĂRIRE A SPAŢIILOR VERZI Î.M.,"Republica Moldova, mun. Chişinău, str. Puşkin A. 62",agsv_ch@yahoo.com,022 24 34 28,-
Liceul Academiei de Ştiinţe a Moldovei,"mun. Chişinău, str. Sprîncenoaia 1",raduch30@gmail.com,022 73 33 60,-
INSTITUŢIA MEDICO-SANITARĂ PUBLICĂ SPITALUL REPUBLICAN AL ASOCIAŢIEI CURATIV-SANATORIALE ŞI DE RECUPERARE,"Republica Moldova, mun. Chişinău, str. Drumul Viilor 34",spital_acsr@mail.md,022729172,-
I.M.S.P. ASOCIAŢIA MEDICALĂ TERITORIALĂ BOTANICA,"Republica Moldova, mun. Chişinău, str. Dacia bd. 5 bl. 2",mcecoi@mail.ru,022531633,-
I.M.S.P. Asociația Medicală Teritorială Centru,"Republica Moldova, mun. Chişinău, str. 31 August 1989 63",,275121,-
"I.M.S.P. SPITALUL CLINIC MUNICIPAL DE COPII ""VALENTIN IGNATENCO""","Republica Moldova, mun. Chişinău, str. Grenoble 149",vignatenco@ms.md,022-72-57-66,-
"I.M.S.P. STAŢIA ZONALĂ ASISTENŢĂ MEDICALĂ URGENTĂ ""CENTRU""","Republica Moldova, mun. Chişinău, str. Constantin Vârnav 7",szamucentru@ms.md,022 02-59-07,-
ACADEMIA DE ŞTIINŢE A MOLDOVEI,"Republica Moldova, mun. Chişinău, str. Ştefan cel Mare şi Sfînt bd. 1",logistica@asm.md,022270034022274093,-
INSPECŢIA DE STAT ÎN CONSTRUCŢII,"Republica Moldova, mun. Chişinău, str. Cosmonauţilor 9",dana_dana_gutu@mail.ru,022 22 63 28,-
I.M.S.P. ASOCIAŢIA MEDICALĂ  TERITORIALĂ RÎŞCANI,"Republica Moldova, mun. Chişinău, str. Alecu Russo 11",amtriscani@ms.md,022497742,-
I.M.S.P. DISPENSARUL REPUBLICAN DE NARCOLOGIE,"Republica Moldova, mun. Chişinău, str. Pruncul I. 8",Filip.Nadejda62@gmail.com,29-58-63,-
Î.S. CENTRUL INFORMAŢIONAL AGRICOL,"Republica Moldova, mun. Chişinău, bd. Cuza-Vodă 5/1, et.3",ana.pascari@cia.md,(022) 22-71-17,-
AGENŢIA RELAŢII FUNCIARE ŞI CADASTRU,"Republica Moldova, mun. Chişinău, str. Puşkin A. 47",natalia.spilevaia@arfc.gov.md,88-12-62 8812-53,-
I.P.N.A. COMPANIA TELERADIO-MOLDOVA,"Republica Moldova, mun. Chişinău, str. Mioriţa 1",achizitii.trm@gmail.com,02240838,-
IÎ Școala Profesională nr.2 mun.Chișinău,"Ion Creangă,59",sp2chisinau@gmail.com,022742903,-
INSPECŢIA FINANCIARĂ,"Republica Moldova, mun. Chişinău, str. Alexandru cel Bun 48",inspectia.financiara@if.gov.md,022-21-20-10,-
INSPECTORATUL FISCAL DE STAT MUN. CHIŞINĂU,"Republica Moldova, mun. Chişinău, str. Constantin Tănase 9 et. 3",alexandru.postica@chisinau.fisc.md,823251,-
DIRECŢIA GENERALĂ PENTRU ADMINISTRAREA CLĂDIRILOR GUVERNULUI R.M.,"Republica Moldova, mun. Chişinău, str. Marii Adunări Naţionale piaţa 1",sectia.economica@mail.ru,022250445 ,-
UNITATEA DE IMPLEMENTARE A PROIECTULUI DE CONSTRUCŢIE A LOCUINŢELOR PENTRU PĂTURILE SOCIALMENTE VULNERABILE II,"Republica Moldova, CHIŞINĂU RÎŞCANI, mun. Chişinău, str. Tănase Constantin 9, ap. 705",vieriigor@gmail.com,022204593,-
"IMSP Institutul de Ftiziopneumologie ""Chiril Draganiuc""",Mun.Chisinau Str.Constantin Virnav 13,ifp@ms.md,022 572 213,-
CENTRUL DE PLASAMENT ŞI REABILITARE PENTRU COPII DE VÎRSTĂ FRAGEDĂ,"Republica Moldova, CHIŞINĂU CENTRU, mun. Chişinău, str. Cosmescu A. 51",centruldeplasament@mail.ru,022737022,-
I.M.S.P. DISPENSARUL MUNICIPAL DERMATO-VENEROLOGIC,"Republica Moldova, CHIŞINĂU CENTRU, mun. Chişinău, str. Columna 47",imspdmdv@mail.ru,022 27-36-46,-
DIRECŢIA GENERALĂ ASISTENŢĂ SOCIALĂ A CONSILIULUI MUNICIPAL CHIŞINĂU,"Republica Moldova, CHIŞINĂU CENTRU, mun. Chişinău, str. Bucureşti 53",bulataurelia@gmail.com,022226668,-
Spitalul Clinic Central staţia Chişinăui filială a Î.S. Calea Ferată din Moldova," MD-2025, mun. Chişinău str. Gheorghe Caşu 37",clifer@mail.ru,022-83-28-05,-
ACADEMIA DE ADMINISTRARE PUBLICĂ,"Republica Moldova, CHIŞINĂU CENTRU, mun. Chişinău, str. Ialoveni 100",aap@aap.gov.md,723830,-
I.P. CENTRUL REPUBLICAN DE DIAGNOSTICĂ VETERINARĂ,"Republica Moldova, CHIŞINĂU BUIUCANI, mun. Chişinău, str. Murelor 3",crdv@rambler.ru,022 74-23-11,-
INSPECTORATUL NAŢIONAL DE PROBAŢIUNE,"Republica Moldova, CHIŞINĂU CENTRU, mun. Chişinău, str. Alecsandri Vasile 1",galena.popa@mail.ru,022280905 022280995,-
Biroul vamal Centru,Chisinău Dacia 49/6,serghei.rotari@customs.gov.md,022 507598,-
IMSP AMT Ciocana,"mun.Chisinau, str.Vadul lui Voda 80",amt.ciocana@ms.md,022475255,-
DIRECŢIA CULTURĂ A PRIMĂRIEI MUNICIPIULUI CHIŞINĂU,"Republica Moldova, mun. Chişinău, str. București, 68",cultura.chisinau@gmail.com,022-22-33-60 022-21-27-30,-
COMISIA ELECTORALĂ CENTRALĂ,"Republica Moldova, CHIŞINĂU CENTRU, mun. Chişinău, str. Alecsandri Vasile 119",info@cec.md,022-251-451,-
INSTITUTUL NAŢIONAL AL JUSTIŢIEI,"Republica Moldova, CHIŞINĂU BUIUCANI, mun. Chişinău, str. Lazo S. 1",davidean.ludmila@inj.gov.md,079291173,-
CSP mun.Chișinău,"A. Hîjdeu, 49",stingacialiona@mail.ru,022574346,-
UNITATEA DE IMPLEMENTARE A PROIECTULUI DE CONSTRUCŢIE A PENITENCIARULUI DIN CHIŞINĂU,"Republica Moldova, Chişinău Botanica, str. Titulescu Nicolae 35",uip@penitenciar.gov.md,409719,-
CURTEA SUPREMĂ DE JUSTIŢIE,"Republica Moldova, CHIŞINĂU BUIUCANI, mun. Chişinău, str. Kogălniceanu Mihail 70",csj.tender@mail.ru,022-22-55-04,-
C.E.M.F RAISA PACALO,"Republica Moldova, CHIŞINĂU CENTRU, mun. Chişinău, str. N. Testemiţeanu 28",cancelarie@cnmf.md,022-72-58-66,-
ORGANIZAŢIA PENTRU DEZVOLTAREA SECTORULUI ÎNTREPRINDERILOR MICI ŞI MIJLOCII,"Republica Moldova, CHIŞINĂU BUIUCANI, mun. Chişinău, str. Lazo S. 48, of. 310",p.gurgurov@odimm.md,022224280,-
Direcţia generală arhitectură urbanism şi relaţii funciare,bd. Stefan cel Mare 83,dgaurf@yandex.ru,022223107,-
Inspectoratul de Stat pentru Supravegherea Geodezica Tehnica si Regim,mun.Chișinău Str. Puskin 47,ion.bolohan@arfc.gov.md,022881218,-
I.M.S.P. SPITALUL RAIONAL DONDUŞENI,"Republica Moldova, DONDUŞENI, or. Donduşeni, str. Mihai Eminescu 26 bl. 1",srdonduseni@ms.md,0 251 2 32 05,-
I.M.S.P. SPITALUL RAIONAL GLODENI,"Republica Moldova, GLODENI, or. Glodeni, str. Moldovanr. 29",juristsrglodeni@ms.md,067657279,-
I.M.S.P. SPITALUL RAIONAL CĂLĂRAŞI,"Republica Moldova, CĂLĂRAŞI, or. Călăraşi, str. N. Testemiţeanu 59",srcalarasi@mail.ru,024421135,-
IMSP SR Soldanesti,or. Soldanesti str. Pacii 24,sr.soldanesti@ms.md,027225120,-
I.M.S.P. SPITALUL CLINIC MUNICIPAL BĂLŢI,"Republica Moldova, BĂLŢI, mun. Bălţi, str. Decebal 101",spital.balti@mail.ru,0231-5-87-08,-
"IMSP ""Spitalul raional Edineţ""",or.Edineţ str. Şoseaua Bucovinei nr. 1,sredinet@ms.md,0-246-2-24-48,-
I.M.S.P. Spitalul Raional Soroca A.PRISACARI,"Republica Moldova, SOROCA, or. Soroca, str. Mihail Kogălniceanu 1",c-gainaru@mail.ru,0-230-2-32-24,-
IMSP Spitalul Raional Floresti,or Floresti str Stefan cel mare 77,srfloresti@ms.md,025022448,-
PIAŢA CENTRALĂ Î.M.,"Republica Moldova, CHIŞINĂU CENTRU, mun. Chişinău, str. Mitropolit Varlaam 63",piatacentrala@gmail.com,022277848,-
I.M.S.P. SPITALUL DE PSIHIATRIE BĂLŢI,"Republica Moldova, BĂLŢI, mun. Bălţi, str. Iu. Gagarin 114",imsp_sp@ms.md,373 94405,-
IMSP SR CAHUL,"or.Cahul, str.Ștefan cel Mare,23",office.srcahul@gmail.com,0299 2-89-15,-
IP Oficiul Naţional al Viei şi Vinului,"mun. Chişinău, str. Mitropolit Dosoftei, 126",achizitii_onvv@wineofmoldova.com,068166146,-
I.M. INSTITUŢIA MEDICO-SANITARĂ PUBLICĂ SPITALUL RAIONAL ŞTEFAN VODĂ,"Republica Moldova, ŞTEFAN VODĂ, or. Ştefan Vodă, str. N. Testemiţeanu 1",srstefanvoda@ms.md,373-67-562843,-
I.M.S.P. SPITALUL RAIONAL REZINA,"Republica Moldova, REZINA, or. Rezina, str. 27 August 7",srrezina@ms.md,025422448   060009896,-
"I.M.S.P. SPITALUL RAIONAL DROCHIA ""NICOLAE TESTEMIŢANU""","Republica Moldova, DROCHIA, or. Drochia, str. N. Testemiţanu 4",srdrochia@gmail.com,025222145 061010404,-
I.M.S.P. SPITALUL RAIONAL TARACLIA,"Republica Moldova, TARACLIA, or. Taraclia, str. Cioban Valeriu 1",sr.taraclia@mail.ru,029423527,-
I.M.S.P. SPITALUL RAIONAL SÎNGEREI,"Republica Moldova, SÎNGEREI, or. Sîngerei, str. N. Testemiţanu 51",srsingerei-jurist@mail.ru,026284463,-
I.M.S.P. SPITALUL RAIONAL IALOVENI,"Republica Moldova, IALOVENI, or. Ialoveni, str. Alexandru cel Bun 7",imsp-sr-ialoveni@mail.ru,(0268)21254,-
I.M.S.P. SPITALUL RAIONAL BRICENI,"Republica Moldova, BRICENI, or. Briceni, str. Mihai Eminescu 48",srbriceni@ms.md,024722071,-
SPITALUL RAIONAL BASARABEASCA I.M.S.P.,"Republica Moldova, BASARABEASCA, or. Basarabeasca, str. Muncii 55",srbasarabeasca@ms.md,029722437,-
IMSP Spitalul raional Ungheni,"or.Ungheni ,str.Nationala 37",imsp-sr-ungheni@mail.ru,0236 28101,-
AGENŢIA PENTRU OCUPAREA FORŢEI DE MUNCĂ A MUNICIPIULUI CHIŞINĂU,"Republica Moldova, CHIŞINĂU CENTRU, mun. Chişinău, str. Varlaam Mitropolit 90",aofm.chisinau@anofm.md,022-222-231,-
I.M.S.P. CENTRUL NAŢIONAL DE ASISTENŢĂ MEDICALĂ URGENTĂ PRESPITALICEASCĂ,"Republica Moldova, mun. Chişinău, str-la Constantin Vârnav 7",cnamup.achizitii@ms.md,022 02-59-07,-
AGENŢIA NAŢIONALĂ PENTRU OCUPAREA FORŢEI DE MUNCĂ,"Republica Moldova, CHIŞINĂU RÎŞCANI, mun. Chişinău, str. Alecsandri Vasile 1",anofm@anofm.md,0-22-721003,-
CONSILIUL RAIONAL CAHUL,"Republica Moldova, CAHUL, or. Cahul, str. Independenţei piaţa 2",presedintele_raionului_cahul@yoahoo.com,029928441,-
I.M.S.P. SPITALUL RAIONAL RÎŞCANI,"Republica Moldova, RÎŞCANI, or. Rîşcani, str. N. Testemiţeanu 6",imsp_riscani@mail.ru,025623347,-
Instituţia Medico-Sanitară Publică Spitalul Raional Ceadîr-Lunga,"or. Ceadîr-Lunga, str. Miciurin, 2",vinogradova.alla82@mail.ru,(291) 21110,-
IMSP SPITALUL RAIONAL ORHEI,"or. Orhei, str. C.Negruzzi 85",srorhei@ms.md,078830509,-
CR Orhei,"or.Orhei, bd.M.Eminescu, 2",tsilvia@yandex.ru,0235 20389,-
I.M.S.P. SPITALUL RAIONAL NISPORENI,"Republica Moldova, NISPORENI, or. Nisporeni, str. Toma Ciorbă 5",srnisporeni@ms.md,0264-22344,-
