ocid,id,title,description,status,procurementMethod,tenderPeroid/startDate,tenderPeroid/endDate,procuringEntity/name,procuringEntity/id
ocds-ngfbwp-60180,60180,Tender Ref 12/00052 Bulletin 87,,Executarea contractului,Licitaţie publică,,,IMSP INSTITUTUL DE MEDICINĂ URGENTĂ,1003600152606
ocds-ngfbwp-60181,60181,Tender Ref 12/00053 Bulletin 92,,Anulată,Cerere a ofertelor de preţuri,,,IMSP Centrul Republican de Diagnosticare Medicală,1003600150196
ocds-ngfbwp-60182,60182,Tender Ref 12/00054 Bulletin 87,,Procedura finalizată,Licitaţie publică,,,Agentia Medicamentului şi Dispozitivelor Medicale,1006601004002
ocds-ngfbwp-60183,60183,Tender Ref 12/00055 Bulletin 88,,Executarea contractului,Cerere a ofertelor de preţuri,,,Casa Naţională de Asigurări Sociale,1004600030235
ocds-ngfbwp-60184,60184,Tender Ref 12/00056 Bulletin 91,,Procedura finalizată,Licitaţie publică,,,Agentia Medicamentului şi Dispozitivelor Medicale,1006601004002
ocds-ngfbwp-60185,60185,Tender Ref 12/00057 Bulletin 88,,Procedura finalizată,Licitaţie publică,,,IMSP INSTITUTUL DE MEDICINĂ URGENTĂ,1003600152606
ocds-ngfbwp-60186,60186,Tender Ref 12/00058 Bulletin 95,,Procedura finalizată,Licitaţie publică,,,Administrația de Stat a Drumurilor,1003600023559
ocds-ngfbwp-60187,60187,Tender Ref 12/00059 Bulletin 95,,Procedura finalizată,Licitaţie publică,,,Administrația de Stat a Drumurilor,1003600023559
ocds-ngfbwp-60188,60188,Tender Ref 12/00060 Bulletin 91,,Procedura finalizată,Licitaţie publică,,,Ministerul Afacerilor Interne,1006601000130
ocds-ngfbwp-67470,67470,Tender Ref 12/00062 Bulletin 87,,Procedura finalizată,Cerere a ofertelor de preţuri,,,MINISTERUL AFACERILOR EXTERNE ŞI INTEGRĂRII EUROPENE,1006601000129
ocds-ngfbwp-70890,70890,Tender Ref 12/00063 Bulletin 91,,Executarea contractului,Licitaţie publică,,,IMSP INSTITUTUL DE MEDICINĂ URGENTĂ,1003600152606
ocds-ngfbwp-70891,70891,Tender Ref 12/00064 Bulletin 88,,Procedura finalizată,Cerere a ofertelor de preţuri,,,Agenția de Dezvoltare Regională Centru,1009601000289
ocds-ngfbwp-70892,70892,Tender Ref 12/00065 Bulletin 90,,Anulată,Licitaţie publică,,,I.M.S.P. Spitalul Clinic de Psihiatrie,1003600150554
ocds-ngfbwp-70893,70893,Tender Ref 12/00066 Bulletin 88,,Anulată,Licitaţie publică,,,IMSP INSTITUTUL DE MEDICINĂ URGENTĂ,1003600152606
ocds-ngfbwp-72531,72531,Tender Ref 12/00067 Bulletin 89,,Procedura finalizată,Licitaţie publică,,,Administrația de Stat a Drumurilor,1003600023559
ocds-ngfbwp-74412,74412,Tender Ref 12/00068 Bulletin 89,,Procedura finalizată,Cerere a ofertelor de preţuri,,,Departamentul Poliției de Frontieră al MAI,1006601000196
ocds-ngfbwp-75416,75416,Tender Ref 12/00069 Bulletin 90,,Executarea contractului,Licitaţie publică,,,IMSP INSTITUTUL DE MEDICINĂ URGENTĂ,1003600152606
ocds-ngfbwp-78194,78194,Tender Ref 12/00070 Bulletin 91,,Procedura finalizată,Licitaţie publică,,,Administrația de Stat a Drumurilor,1003600023559
ocds-ngfbwp-78195,78195,Tender Ref 12/00071 Bulletin 93,,Executarea contractului,Licitaţie publică,,,IMSP INSTITUTUL DE MEDICINĂ URGENTĂ,1003600152606
ocds-ngfbwp-78196,78196,Tender Ref 12/00072 Bulletin 90,,Procedura finalizată,Cerere a ofertelor de preţuri,,,MINISTERUL AFACERILOR EXTERNE ŞI INTEGRĂRII EUROPENE,1006601000129
ocds-ngfbwp-78197,78197,Tender Ref 12/00073 Bulletin 90,,Procedura finalizată,Cerere a ofertelor de preţuri,,,MINISTERUL AFACERILOR EXTERNE ŞI INTEGRĂRII EUROPENE,1006601000129
ocds-ngfbwp-78198,78198,Tender Ref 12/00074 Bulletin 91,,Procedura finalizată,Licitaţie publică,,,Ministerul Afacerilor Interne,1006601000130
ocds-ngfbwp-78199,78199,Tender Ref 12/00075 Bulletin 91,,Procedura finalizată,Licitaţie publică,,,I.M.S.P. INSTITUTUL MAMEI ŞI COPILULUI,1003600151643
ocds-ngfbwp-81520,81520,Tender Ref 12/00076 Bulletin 92,,Executarea contractului,Cerere a ofertelor de preţuri,,,Casa Naţională de Asigurări Sociale,1004600030235
ocds-ngfbwp-81521,81521,Tender Ref 12/00077 Bulletin 92,,Procedura finalizată,Cerere a ofertelor de preţuri,,,MINISTERUL AFACERILOR EXTERNE ŞI INTEGRĂRII EUROPENE,1006601000129
ocds-ngfbwp-81522,81522,Tender Ref 12/00078 Bulletin 92,,Executarea contractului,Licitaţie publică,,,Administrația de Stat a Drumurilor,1003600023559
ocds-ngfbwp-81523,81523,Tender Ref 12/00079 Bulletin 92,,Procedura finalizată,Licitaţie publică,,,Departamentul Poliției de Frontieră al MAI,1006601000196
ocds-ngfbwp-81524,81524,Tender Ref 12/00080 Bulletin 95,,Procedura finalizată,Licitaţie publică,,,I.M.S.P. INSTITUTUL MAMEI ŞI COPILULUI,1003600151643
ocds-ngfbwp-81526,81526,Tender Ref 12/00082 Bulletin 95,,Procedura finalizată,Licitaţie publică,,,IMSP Spitalul Clinic Republican,1003600150783
ocds-ngfbwp-81527,81527,Tender Ref 12/00083 Bulletin 92,,Executarea contractului,Cerere a ofertelor de preţuri,,,IMSP Centrul Republican de Diagnosticare Medicală,1003600150196
ocds-ngfbwp-84150,84150,Tender Ref 12/00084 Bulletin 93,,Procedura finalizată,Licitaţie publică,,,MINISTERUL DEZVOLTĂRII REGIONALE ŞI CONSTRUCŢIILOR,1008601000570
ocds-ngfbwp-84151,84151,Tender Ref 12/00085 Bulletin 92,,Executarea contractului,Licitaţie publică,,,IMSP INSTITUTUL DE MEDICINĂ URGENTĂ,1003600152606
ocds-ngfbwp-84152,84152,Tender Ref 12/00086 Bulletin 93,,Procedura finalizată,Licitaţie publică,,,Agentia Medicamentului şi Dispozitivelor Medicale,1006601004002
ocds-ngfbwp-84153,84153,Tender Ref 12/00087 Bulletin 93,,Procedura finalizată,Licitaţie publică,,,Agentia Medicamentului şi Dispozitivelor Medicale,1006601004002
ocds-ngfbwp-84155,84155,Tender Ref 12/00089 Bulletin 92,,Executarea contractului,Licitaţie publică,,,Administrația de Stat a Drumurilor,1003600023559
ocds-ngfbwp-84156,84156,Tender Ref 12/00090 Bulletin 97,,Procedura finalizată,Cerere a ofertelor de preţuri,,,Centrul Național Anticorupție,1006601000222
ocds-ngfbwp-84157,84157,Tender Ref 12/00091 Bulletin 96,,Executarea contractului,Licitaţie publică,,,Casa Naţională de Asigurări Sociale,1004600030235
ocds-ngfbwp-84158,84158,Tender Ref 12/00092 Bulletin 95,,Procedura finalizată,Licitaţie publică,,,Ministerul Justitiei al Republicii Moldova,1006601000118
ocds-ngfbwp-84159,84159,Tender Ref 12/00093 Bulletin 94,,Executarea contractului,Licitaţie publică,,,IMSP Institutul Oncologic,1003600151023
ocds-ngfbwp-106390,106390,Tender Ref 12/00094 Bulletin 95,,Procedura finalizată,Cerere a ofertelor de preţuri,,,Ministerul Justitiei al Republicii Moldova,1006601000118
ocds-ngfbwp-106391,106391,Tender Ref 12/00095 Bulletin 95,,Procedura finalizată,Licitaţie publică,,,IMSP Spitalul Clinic Republican,1003600150783
ocds-ngfbwp-106392,106392,Tender Ref 12/00096 Bulletin 97,,Procedura finalizată,Licitaţie publică,,,I.M.S.P. Spitalul Clinic de Psihiatrie,1003600150554
ocds-ngfbwp-106393,106393,Tender Ref 12/00097 Bulletin 94,,Procedura finalizată,Cerere a ofertelor de preţuri,,,Ministerul Agriculturii și Industriei Alimentare,1006601000059
ocds-ngfbwp-106394,106394,Tender Ref 12/00098 Bulletin 93,,Procedura finalizată,Licitaţie publică,,,Agenția de Dezvoltare Regională Sud,1009601000290
ocds-ngfbwp-106395,106395,Tender Ref 12/00099 Bulletin 96,,Executarea contractului,Licitaţie publică,,,IMSP Centrul Republican de Diagnosticare Medicală,1003600150196
ocds-ngfbwp-106396,106396,Tender Ref 12/00100 Bulletin 95,,Procedura finalizată,Licitaţie publică,,,I.M.S.P. Spitalul Clinic de Psihiatrie,1003600150554
ocds-ngfbwp-106399,106399,Tender Ref 12/00103 Bulletin 95,,Procedura finalizată,Cerere a ofertelor de preţuri,,,Ministerul Justitiei al Republicii Moldova,1006601000118
ocds-ngfbwp-120230,120230,Tender Ref 12/00104 Bulletin 94,,Procedura finalizată,Licitaţie publică,,,Agentia Medicamentului şi Dispozitivelor Medicale,1006601004002
ocds-ngfbwp-120231,120231,Tender Ref 12/00105 Bulletin 94,,Procedura finalizată,Licitaţie publică,,,Ministerul Justitiei al Republicii Moldova,1006601000118
ocds-ngfbwp-120232,120232,Tender Ref 12/00106 Bulletin 94,,Procedura finalizată,Licitaţie publică,,,Agentia Medicamentului şi Dispozitivelor Medicale,1006601004002
ocds-ngfbwp-120233,120233,Tender Ref 12/00107 Bulletin 97,,Procedura finalizată,Cerere a ofertelor de preţuri,,,I.M.S.P. INSTITUTUL MAMEI ŞI COPILULUI,1003600151643
ocds-ngfbwp-120234,120234,Tender Ref 12/00108 Bulletin 94,,Procedura finalizată,Licitaţie publică,,,Agentia Medicamentului şi Dispozitivelor Medicale,1006601004002
ocds-ngfbwp-120238,120238,Tender Ref 12/00109 Bulletin 101,,Executarea contractului,Licitaţie publică,,,IMSP Centrul Republican de Diagnosticare Medicală,1003600150196
ocds-ngfbwp-125780,125780,Tender Ref 12/00110 Bulletin 94,,Procedura finalizată,Cerere a ofertelor de preţuri,,,MINISTERUL AFACERILOR EXTERNE ŞI INTEGRĂRII EUROPENE,1006601000129
ocds-ngfbwp-125781,125781,Tender Ref 12/00111 Bulletin 94,,Procedura finalizată,Licitaţie publică,,,Agentia Medicamentului şi Dispozitivelor Medicale,1006601004002
ocds-ngfbwp-125782,125782,Tender Ref 12/00112 Bulletin 97,,Anulată,Cerere a ofertelor de preţuri,,,IMSP Spitalul Clinic Republican,1003600150783
ocds-ngfbwp-125783,125783,Tender Ref 12/00113 Bulletin 96,,Procedura finalizată,Licitaţie publică,,,Agentia Medicamentului şi Dispozitivelor Medicale,1006601004002
ocds-ngfbwp-125784,125784,Tender Ref 12/00114 Bulletin 96,,Procedura finalizată,Licitaţie publică,,,Departamentul Poliției de Frontieră al MAI,1006601000196
ocds-ngfbwp-125786,125786,Tender Ref 12/00116 Bulletin 96,,Procedura finalizată,Licitaţie publică,,,Agentia Medicamentului şi Dispozitivelor Medicale,1006601004002
ocds-ngfbwp-125787,125787,Tender Ref 12/00117 Bulletin 96,,Anulată,Licitaţie publică,,,IMSP Spitalul Clinic Republican,1003600150783
ocds-ngfbwp-132900,132900,Tender Ref 12/00118 Bulletin 97,,Procedura finalizată,Licitaţie publică,,,IMSP Institutul Oncologic,1003600151023
ocds-ngfbwp-132902,132902,Tender Ref 12/00120 Bulletin 96,,Procedura finalizată,Cerere a ofertelor de preţuri,,,IMSP Spitalul Clinic Republican,1003600150783
ocds-ngfbwp-132903,132903,Tender Ref 12/00121 Bulletin 96,,Procedura finalizată,Licitaţie publică,,,Departamentul Poliției de Frontieră al MAI,1006601000196
ocds-ngfbwp-132904,132904,Tender Ref 12/00122 Bulletin 100,,Executarea contractului,Licitaţie publică,,,Casa Naţională de Asigurări Sociale,1004600030235
ocds-ngfbwp-132905,132905,Tender Ref 12/00123 Bulletin 96,,Executarea contractului,Cerere a ofertelor de preţuri,,,IMSP Centrul Republican de Diagnosticare Medicală,1003600150196
ocds-ngfbwp-132906,132906,Tender Ref 12/00124 Bulletin 97,,Executarea contractului,Licitaţie publică,,,IMSP INSTITUTUL DE MEDICINĂ URGENTĂ,1003600152606
ocds-ngfbwp-132907,132907,Tender Ref 12/00125 Bulletin 22,,Procedura finalizată,Licitaţie publică,,,IMSP Spitalul Clinic Republican,1003600150783
ocds-ngfbwp-132908,132908,Tender Ref 12/00126 Bulletin 97,,Executarea contractului,Licitaţie publică,,,Casa Naţională de Asigurări Sociale,1004600030235
ocds-ngfbwp-132909,132909,Tender Ref 12/00127 Bulletin 102,,Executarea contractului,Licitaţie publică,,,Casa Naţională de Asigurări Sociale,1004600030235
ocds-ngfbwp-172650,172650,Tender Ref 12/00128 Bulletin 100,,Executarea contractului,Licitaţie publică,,,Casa Naţională de Asigurări Sociale,1004600030235
ocds-ngfbwp-172651,172651,Tender Ref 12/00129 Bulletin 98,,Procedura finalizată,Cerere a ofertelor de preţuri,,,IMSP Spitalul Clinic Republican,1003600150783
ocds-ngfbwp-172652,172652,Tender Ref 12/00130 Bulletin 99,,Executarea contractului,Licitaţie publică,,,IMSP INSTITUTUL DE MEDICINĂ URGENTĂ,1003600152606
ocds-ngfbwp-172653,172653,Tender Ref 12/00131 Bulletin 99,,Procedura finalizată,Licitaţie publică,,,Agentia Medicamentului şi Dispozitivelor Medicale,1006601004002
ocds-ngfbwp-172654,172654,Tender Ref 12/00132 Bulletin 99,,Executarea contractului,Licitaţie publică,,,Ministerul Afacerilor Interne,1006601000130
ocds-ngfbwp-176600,176600,Tender Ref 12/00133 Bulletin 99,,Executarea contractului,Licitaţie publică,,,IMSP Spitalul Clinic Republican,1003600150783
ocds-ngfbwp-177550,177550,Tender Ref 12/00134 Bulletin 99,,Procedura finalizată,Cerere a ofertelor de preţuri,,,Ministerul Tineretului și Sportului,1009601000256
ocds-ngfbwp-178120,178120,Tender Ref 12/00135 Bulletin 99,,Procedura finalizată,Cerere a ofertelor de preţuri,,,Departamentul Poliției de Frontieră al MAI,1006601000196
ocds-ngfbwp-178121,178121,Tender Ref 12/00136 Bulletin 99,,Procedura finalizată,Cerere a ofertelor de preţuri,,,Ministerul Tineretului și Sportului,1009601000256
ocds-ngfbwp-178122,178122,Tender Ref 12/00137 Bulletin 99,,Procedura finalizată,Licitaţie publică,,,Ministerul Tineretului și Sportului,1009601000256
ocds-ngfbwp-178123,178123,Tender Ref 12/00138 Bulletin 99,,Anulată,Cerere a ofertelor de preţuri,,,"MINISTERUL MUNCII, PROTECŢIEI SOCIALE ŞI FAMILIEI",1007601000791
ocds-ngfbwp-178124,178124,Tender Ref 12/00139 Bulletin 99,,Procedura finalizată,Cerere a ofertelor de preţuri,,,Ministerul Justitiei al Republicii Moldova,1006601000118
ocds-ngfbwp-178127,178127,Tender Ref 12/00142 Bulletin 99,,Procedura finalizată,Cerere a ofertelor de preţuri,,,"MINISTERUL MUNCII, PROTECŢIEI SOCIALE ŞI FAMILIEI",1007601000791
ocds-ngfbwp-178128,178128,Tender Ref 12/00143 Bulletin 99,,Procedura finalizată,Licitaţie publică,,,Ministerul Tineretului și Sportului,1009601000256
ocds-ngfbwp-178129,178129,Tender Ref 12/00144 Bulletin 99,,Procedura finalizată,Licitaţie publică,,,Ministerul Tineretului și Sportului,1009601000256
ocds-ngfbwp-181140,181140,Tender Ref 12/00145 Bulletin 98,,Procedura finalizată,Cerere a ofertelor de preţuri,,,Ministerul Tineretului și Sportului,1009601000256
ocds-ngfbwp-181141,181141,Tender Ref 12/00146 Bulletin 102,,Executarea contractului,Licitaţie publică,,,IMSP Centrul Republican de Diagnosticare Medicală,1003600150196
ocds-ngfbwp-181142,181142,Tender Ref 12/00147 Bulletin 99,,Procedura finalizată,Licitaţie publică,,,Ministerul Tineretului și Sportului,1009601000256
ocds-ngfbwp-181143,181143,Tender Ref 12/00148 Bulletin 98,,Executarea contractului,Licitaţie publică,,,Administrația de Stat a Drumurilor,1003600023559
ocds-ngfbwp-181144,181144,Tender Ref 12/00149 Bulletin 99,,Executarea contractului,Licitaţie publică,,,Agenția de Dezvoltare Regională Sud,1009601000290
ocds-ngfbwp-184110,184110,Tender Ref 12/00150 Bulletin 98,,Procedura finalizată,Licitaţie publică,,,I.M.S.P. INSTITUTUL MAMEI ŞI COPILULUI,1003600151643
ocds-ngfbwp-184111,184111,Tender Ref 12/00151 Bulletin 8,,Procedura finalizată,Licitaţie publică,,,MINISTERUL AFACERILOR EXTERNE ŞI INTEGRĂRII EUROPENE,1006601000129
ocds-ngfbwp-184112,184112,Tender Ref 12/00152 Bulletin 99,,Procedura finalizată,Cerere a ofertelor de preţuri,,,Ministerul Agriculturii și Industriei Alimentare,1006601000059
ocds-ngfbwp-184113,184113,Tender Ref 12/00153 Bulletin 101,,Procedura finalizată,Licitaţie publică,,,IMSP Spitalul Clinic Republican,1003600150783
ocds-ngfbwp-184114,184114,Tender Ref 12/00154 Bulletin 99,,Executarea contractului,Licitaţie publică,,,Casa Naţională de Asigurări Sociale,1004600030235
ocds-ngfbwp-184115,184115,Tender Ref 12/00155 Bulletin 100,,Procedura finalizată,Licitaţie publică,,,Agentia Medicamentului şi Dispozitivelor Medicale,1006601004002
ocds-ngfbwp-184116,184116,Tender Ref 12/00156 Bulletin 101,,Executarea contractului,Licitaţie publică,,,IMSP INSTITUTUL DE MEDICINĂ URGENTĂ,1003600152606
ocds-ngfbwp-188620,188620,Tender Ref 12/00157 Bulletin 1,,Procedura finalizată,Licitaţie publică,,,Ministerul Agriculturii și Industriei Alimentare,1006601000059
ocds-ngfbwp-188621,188621,Tender Ref 12/00158 Bulletin 100,,Procedura finalizată,Cerere a ofertelor de preţuri,,,AGENŢIA ACHIZIŢII PUBLICE,1009601000304
ocds-ngfbwp-188622,188622,Tender Ref 12/00159 Bulletin 99,,Procedura finalizată,Licitaţie publică,,,AGENŢIA ACHIZIŢII PUBLICE,1009601000304
ocds-ngfbwp-188623,188623,Tender Ref 12/00160 Bulletin 100,,Procedura finalizată,Cerere a ofertelor de preţuri,,,Compania Națională de Asigurări în Medicină,1007601007778
ocds-ngfbwp-188625,188625,Tender Ref 12/00162 Bulletin 101,,Executarea contractului,Cerere a ofertelor de preţuri,,,IMSP Centrul Republican de Diagnosticare Medicală,1003600150196
ocds-ngfbwp-188626,188626,Tender Ref 12/00163 Bulletin 101,,Procedura finalizată,Cerere a ofertelor de preţuri,,,Compania Națională de Asigurări în Medicină,1007601007778
ocds-ngfbwp-188627,188627,Tender Ref 12/00164 Bulletin 101,,Procedura finalizată,Licitaţie publică,,,I.M.S.P. Spitalul Clinic de Psihiatrie,1003600150554
ocds-ngfbwp-188628,188628,Tender Ref 12/00165 Bulletin 103,,Procedura finalizată,Cerere a ofertelor de preţuri,,,I.M.S.P. INSTITUTUL MAMEI ŞI COPILULUI,1003600151643
ocds-ngfbwp-188629,188629,Tender Ref 12/00166 Bulletin 102,,Procedura finalizată,Cerere a ofertelor de preţuri,,,Compania Națională de Asigurări în Medicină,1007601007778
ocds-ngfbwp-194130,194130,Tender Ref 12/00167 Bulletin 101,,Procedura finalizată,Licitaţie publică,,,Agentia Medicamentului şi Dispozitivelor Medicale,1006601004002
ocds-ngfbwp-194131,194131,Tender Ref 12/00168 Bulletin 103,,Executarea contractului,Licitaţie publică,,,Ministerul Afacerilor Interne,1006601000130
ocds-ngfbwp-194132,194132,Tender Ref 12/00169 Bulletin 1,,Procedura finalizată,Licitaţie publică,,,IMSP Spitalul Clinic Republican,1003600150783
ocds-ngfbwp-194133,194133,Tender Ref 12/00170 Bulletin 103,,Executarea contractului,Licitaţie publică,,,Ministerul Afacerilor Interne,1006601000130
